shop,ProductID,name,category,price,url
Brickmo,42705,LEGO Friends 42705 Cozy Fall Forest Cabin 42705,Lego Friends,77.86,https://www.brickmo.com/en/new-at-brickmo/lego/87141/lego-friends-42705-cozy-fall-forest-cabin-42705?c=6036
Brickmo,42702,LEGO Friends 42702 Spinning Flower & Fairy...,Lego Friends,31.16,https://www.brickmo.com/en/new-at-brickmo/lego/87134/lego-friends-42702-spinning-flower-fairy-teacup-ride-42702?c=6036
Brickmo,42698,LEGO Friends 42698 Advent Calendar 2026 42698,Lego Friends,19.94,https://www.brickmo.com/en/new-at-brickmo/lego/87304/lego-friends-42698-advent-calendar-2026-42698?c=6036
Brickmo,42659,LEGO Friends 42659 Friendship Road-Trip Travel...,Lego Friends,16.48,https://www.brickmo.com/en/new-at-brickmo/lego/78075/lego-friends-42659-friendship-road-trip-travel-car-42659?c=6036
Brickmo,42687,LEGO Friends 42687 Liann's Family House 42687,Lego Friends,54.61,https://www.brickmo.com/en/new-at-brickmo/lego/82869/lego-friends-42687-liann-s-family-house-42687?c=6036
Brickmo,42663,LEGO Friends 42663 Friendship Camper Van...,Lego Friends,49.55,https://www.brickmo.com/en/new-at-brickmo/lego/72154/lego-friends-42663-friendship-camper-van-adventure-42663?c=6036
Brickmo,42666,LEGO Friends 42666 Cat Birthday Party & Tree...,Lego Friends,22.68,https://www.brickmo.com/en/new-at-brickmo/lego/78080/lego-friends-42666-cat-birthday-party-tree-house-42666?c=6036
Brickmo,42652,LEGO Friends 42652 Friendship Tree House...,Lego Friends,61.95,https://www.brickmo.com/en/new-at-brickmo/lego/72036/lego-friends-42652-friendship-tree-house-hangout-42652?c=6036
Brickmo,42681,LEGO Friends 42681 Axolotl Adventure Boat 42681,Lego Friends,8.53,https://www.brickmo.com/en/new-at-brickmo/lego/82863/lego-friends-42681-axolotl-adventure-boat-42681?c=6036
Brickmo,41713,LEGO Friends 41713 Olivia´s Space Academy 41713,Lego Friends,72.28,https://www.brickmo.com/en/new-at-brickmo/lego/47182/lego-friends-41713-olivia-s-space-academy-41713?c=6036
