shop,ProductID,name,category,price,url
JB Spielwaren,60484,LEGO 60484 Rides – Gaming Race Car,Lego City,8.49,https://www.jb-spielwaren.de/en/lego-60484-rides-gaming-race-car/a-60484/
JB Spielwaren,60483,LEGO 60483 Rides – Construction Loader,Lego City,8.49,https://www.jb-spielwaren.de/en/lego-60483-rides-construction-loader/a-60483/
JB Spielwaren,60482,LEGO 60482 Rides – Fire Truck,Lego City,8.49,https://www.jb-spielwaren.de/en/lego-60482-rides-fire-truck/a-60482/
JB Spielwaren,60504,LEGO 60504 Coast Guard Rescue Boat & Helicopter,Lego City,87.99,https://www.jb-spielwaren.de/en/lego-60504-coast-guard-rescue-boat-helicopter/a-60504/
JB Spielwaren,60481,LEGO 60481 Rides – Police Truck,Lego City,8.49,https://www.jb-spielwaren.de/en/lego-60481-rides-police-truck/a-60481/
JB Spielwaren,60505,"LEGO 60505 Airplane, Service Truck & Hovercraft Remix",Lego City,55.99,https://www.jb-spielwaren.de/en/lego-60505-airplane-service-truck-hovercraft-remix/a-60505/
JB Spielwaren,60479,LEGO 60479 Police Prisoner Transport Van,Lego City,16.99,https://www.jb-spielwaren.de/en/lego-60479-police-prisoner-transport-van/a-60479/
JB Spielwaren,60503,LEGO 60503 Coast Guard Helicopter,Lego City,41.99,https://www.jb-spielwaren.de/en/lego-60503-coast-guard-helicopter/a-60503/
JB Spielwaren,60498,LEGO 60498 Tractor,Lego City,16.99,https://www.jb-spielwaren.de/en/lego-60498-tractor/a-60498/
JB Spielwaren,60491,LEGO 60491 Motorcycle Transporter,Lego City,16.99,https://www.jb-spielwaren.de/en/lego-60491-motorcycle-transporter/a-60491/
JB Spielwaren,60490,LEGO 60490 Snowplow,Lego City,21.24,https://www.jb-spielwaren.de/en/lego-60490-snowplow/a-60490/
JB Spielwaren,60500,LEGO 60500 The LEGO® Van,Lego City,25.49,https://www.jb-spielwaren.de/en/lego-60500-the-lego-van/a-60500/
JB Spielwaren,60487,LEGO 60487 Yellow Taxi,Lego City,12.74,https://www.jb-spielwaren.de/en/lego-60487-yellow-taxi/a-60487/
JB Spielwaren,60486,LEGO 60486 EV Supercar,Lego City,8.49,https://www.jb-spielwaren.de/en/lego-60486-ev-supercar/a-60486/
